cotacaoVenda,dataHoraCotacao,tipoBoletim
"2,88725",2010-02-10 12:00:00.0,Intermediário
"2,88261",2010-02-10 12:30:00.0,Intermediário
"2,88055",2010-02-10 13:00:00.0,Intermediário
"2,88901",2010-02-10 13:30:00.0,Intermediário
"2,89543",2010-02-10 14:00:00.0,Intermediário
"2,89937",2010-02-10 14:30:00.0,Intermediário
"2,89939",2010-02-10 15:00:00.0,Intermediário
"2,8944",2010-02-10 15:30:00.0,Intermediário
"2,8896",2010-02-10 16:00:00.0,Intermediário
"2,88818",2010-02-10 16:31:00.0,Fechamento Interbancário
"2,88708",2010-02-10 17:32:00.0,Fechamento
"2,89258",2010-02-11 09:25:00.0,Abertura
"2,88608",2010-02-11 09:30:00.0,Intermediário
"2,88622",2010-02-11 10:00:00.0,Intermediário
"2,8863",2010-02-11 10:30:00.0,Intermediário
"2,88668",2010-02-11 11:00:00.0,Intermediário
"2,88723",2010-02-11 11:30:00.0,Intermediário
"2,89675",2010-02-11 12:00:00.0,Intermediário
"2,89776",2010-02-11 12:30:00.0,Intermediário
"2,8961",2010-02-11 13:00:00.0,Intermediário
"2,89787",2010-02-11 13:30:00.0,Intermediário
"2,90534",2010-02-11 14:00:00.0,Intermediário
"2,91196",2010-02-11 14:30:00.0,Intermediário
"2,90577",2010-02-11 15:00:00.0,Intermediário
"2,90735",2010-02-11 15:30:00.0,Intermediário
"2,90242",2010-02-11 16:00:00.0,Intermediário
"2,90284",2010-02-11 16:30:00.0,Fechamento Interbancário
"2,90535",2010-02-11 17:51:00.0,Fechamento
"2,91065",2010-02-12 09:21:00.0,Abertura
"2,91366",2010-02-12 09:30:00.0,Intermediário
"2,914",2010-02-12 10:00:00.0,Intermediário
"2,91343",2010-02-12 10:30:00.0,Intermediário
"2,90855",2010-02-12 11:00:00.0,Intermediário
"2,90798",2010-02-12 11:30:00.0,Intermediário
"2,91243",2010-02-12 12:00:00.0,Intermediário
"2,9105",2010-02-12 12:30:00.0,Intermediário
"2,92599",2010-02-12 13:00:00.0,Intermediário
"2,90984",2010-02-12 13:30:00.0,Intermediário
"2,9114",2010-02-12 14:00:00.0,Intermediário
"2,91312",2010-02-12 14:30:00.0,Intermediário
"2,92061",2010-02-12 15:00:00.0,Intermediário
"2,9151",2010-02-12 15:30:00.0,Intermediário
"2,91613",2010-02-12 16:00:00.0,Intermediário
